Manufacturer,Model,Sales in thousands,4-year resale value,Vehicle type,Price in thousands,Engine size,Horsepower,Wheelbase,Width,Length,Curb weight,Fuel capacity,Fuel efficiency,Latest Launch
Acura        ,Integra          ,0.031101802013503536,16.36,Passenger,21.5,1.8,140,101.2,67.3,172.4,2.639,13.2,28,2-Feb-14
Acura        ,TL               ,0.07266893760951501,19.875,Passenger,28.4,3.2,225,108.1,70.3,192.9,3.517,17.2,25,6-Mar-15
Acura        ,CL               ,0.025911692271824827,18.225,Passenger,.,3.2,225,106.9,70.6,192,3.47,17.2,26,1-Apr-14
Acura        ,RL               ,0.015686898534742276,29.725,Passenger,42,3.5,210,114.6,71.4,196.6,3.85,18,22,3-Oct-15
Audi         ,A4               ,0.03753716803188448,22.255,Passenger,23.99,1.8,150,102.6,68.2,178,2.998,16.4,27,10-Aug-15
Audi         ,A6               ,0.03454522241609322,23.555,Passenger,33.95,2.8,200,108.7,76.1,192,3.561,18.5,22,8-Sep-15
Audi         ,A8               ,0.002349889259155779,39,Passenger,62,4.2,310,113,74,198.2,3.902,23.7,21,27-Feb-14
BMW          ,323i             ,0.036334468804757505,.,Passenger,26.99,2.5,170,107.3,68.4,176,3.179,16.6,26,28-Jun-15
BMW          ,328i             ,0.016876645616346345,28.675,Passenger,33.4,2.8,193,107.3,68.5,176,3.197,16.6,24,29-Jan-14
BMW          ,528i             ,0.03222678836749307,36.125,Passenger,38.9,2.8,193,111.4,70.9,188,3.472,18.5,25,4-Apr-15
Buick        ,Century          ,0.1692123800307521,12.475,Passenger,21.975,3.1,175,109,72.7,194.6,3.368,17.5,25,11-Feb-15
Buick        ,Regal            ,0.07260602718840375,13.74,Passenger,25.3,3.8,240,109,72.7,196.2,3.543,17.5,23,9-Mar-15
Buick        ,Park Avenue      ,0.051329352707275955,20.19,Passenger,31.965,3.8,205,113.8,74.7,206.8,3.778,18.5,24,23-Mar-14
Buick        ,LeSabre          ,0.15384743482757918,13.36,Passenger,27.885,3.8,205,112.2,73.5,200,3.591,17.5,25,23-Jul-15
Cadillac     ,DeVille          ,0.11771464943167835,22.525,Passenger,39.895,4.6,275,115.3,74.5,207.2,3.978,18.5,22,23-Feb-14
Cadillac     ,Seville          ,0.0292959028663098,27.1,Passenger,44.475,4.6,275,112.2,75,201,.,18.5,22,29-Apr-15
